částice;dt / ms;n;f / m*s-1;sig f / m*s-1;vx / um/ms;sig vx / um/ms
1;7.48;5;0.67;0.04;20.17;1.4
2;11.82;4;0.34;0.01;10.21;0.47
3;7.32;5;0.68;0.05;20.61;1.46
4;9.5;7;0.74;0.04;22.24;1.24
5;7.57;4;0.53;0.03;15.95;1.09
6;7.49;5;0.67;0.04;20.15;1.4
7;16.51;5;0.3;0.01;9.14;0.33
8;9.57;4;0.42;0.02;12.61;0.7
9;9.83;5;0.51;0.03;15.35;0.83
10;9.98;5;0.5;0.03;15.12;0.81
11;10.45;5;0.48;0.02;14.44;0.74
12;7.09;4;0.56;0.04;17.03;1.24
13;6.1;4;0.66;0.05;19.79;1.66
14;8.28;5;0.6;0.04;18.22;1.15
15;8.38;5;0.6;0.04;18.01;1.13
16;7.66;5;0.65;0.04;19.7;1.34
17;13.2;5;0.38;0.01;11.43;0.48
18;10.09;3;0.3;0.01;8.97;0.48
19;14.85;5;0.34;0.01;10.16;0.39
20;15.06;5;0.33;0.01;10.02;0.38
21;8.54;4;0.47;0.03;14.14;0.87
22;8.74;4;0.46;0.03;13.81;0.83
23;10.71;5;0.47;0.02;14.09;0.71
24;7.66;4;0.52;0.03;15.76;1.07
25;9.25;5;0.54;0.03;16.31;0.93
26;9.73;5;0.51;0.03;15.51;0.85
27;10.27;5;0.49;0.02;14.69;0.77
28;9.49;5;0.53;0.03;15.9;0.89
29;7.52;4;0.53;0.04;16.05;1.11
30;7.34;4;0.54;0.04;16.45;1.16
31;8.18;4;0.49;0.03;14.76;0.94
32;9.86;5;0.51;0.03;15.3;0.83
33;9.85;5;0.51;0.03;15.32;0.83
34;9.37;5;0.53;0.03;16.1;0.91
35;7.59;4;0.53;0.03;15.9;1.09
36;7.58;4;0.53;0.03;15.93;1.09
37;9.44;5;0.53;0.03;15.98;0.9
38;9.67;5;0.52;0.03;15.6;0.86
39;11.64;6;0.52;0.02;15.56;0.73
40;8.53;5;0.59;0.03;17.69;1.09
41;7.1;4;0.56;0.04;17;1.24
42;6.87;4;0.58;0.04;17.57;1.32
43;8.59;5;0.58;0.03;17.57;1.07
44;10.87;5;0.46;0.02;13.88;0.69
45;8.24;4;0.49;0.03;14.65;0.93
46;9.37;4;0.43;0.02;12.88;0.73
47;13.25;6;0.45;0.02;13.67;0.58
48;10.27;4;0.39;0.02;11.75;0.61
49;8.71;5;0.57;0.03;17.32;1.05
50;6.51;4;0.61;0.05;18.54;1.47
51;10.56;5;0.47;0.02;14.29;0.73
52;5.97;4;0.67;0.06;20.22;1.74
53;9.02;5;0.55;0.03;16.73;0.98
54;7.64;4;0.52;0.03;15.8;1.08
55;6.23;4;0.64;0.05;19.38;1.6
56;9.19;4;0.44;0.02;13.14;0.76
57;11.34;8;0.71;0.03;21.29;1.02
58;8.77;5;0.57;0.03;17.21;1.03
59;9.01;5;0.55;0.03;16.75;0.98
60;8.66;5;0.58;0.03;17.42;1.06
61;6.69;4;0.6;0.04;18.04;1.39
62;6.87;4;0.58;0.04;17.57;1.32
63;7.11;4;0.56;0.04;16.98;1.24
64;8.79;5;0.57;0.03;17.17;1.03
65;8.89;4;0.45;0.03;13.58;0.8
66;7.1;4;0.56;0.04;17;1.24
67;6.69;4;0.6;0.04;18.04;1.39
68;7.28;4;0.55;0.04;16.58;1.18
69;7.52;4;0.53;0.04;16.05;1.11
70;8.06;4;0.5;0.03;14.98;0.97
71;7.12;4;0.56;0.04;16.95;1.23
72;7.94;5;0.63;0.04;19;1.25
73;6.81;5;0.73;0.05;22.16;1.68
74;5.85;5;0.85;0.07;25.79;2.26
75;9.43;5;0.53;0.03;16;0.9
76;8.06;5;0.62;0.04;18.72;1.21
77;6.81;4;0.59;0.04;17.73;1.34
78;7.76;5;0.64;0.04;19.44;1.3
79;8.85;4;0.45;0.03;13.64;0.81
80;8.12;5;0.62;0.04;18.58;1.2
